Query#	Type	Level	Category	Query	Expected Json Result	Actual Json Result(Exclude U-Translator Domain)	JsonP/F	Expected String Result	Actual String Result	StringP/F	QueryID	TimeSpent	AudioFile	Dominio
114	1	L2	media player	desactivar repetición	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_OFF"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPEAT_OFF"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_OFF	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPEAT_OFF	PASS	bc630a84-4a07-2c9d-80e9-64de28deeee7	0.6935	-	MPC
179	1	L1	media player	pausar la canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PAUSE"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PAUSE	PASS	1f45dfbb-ebcb-17fd-50e2-bf418ff37c8c	0.7384	-	MPC
180	1	L1	media player	reproducir la canción actual	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_CURRENT_SONG	PASS	b3a4c4d1-5728-91c5-0d5b-1e4dd1d11f4a	0.5915	-	MPC
181	1	L1	media player	reproducir la pista anterior	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_LAST_SONG	PASS	f9d62466-e06d-0cfc-55da-425486a9027e	0.771	-	MPC
182	1	L1	media player	reproducir la pista número tres	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK","PlayNumberedTrackTrackNumber":3.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK","PlayNumberedTrackTrackNumber":3}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK -> PlayNumberedTrackTrackNumber:3	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_PLAY_NUMBERED_TRACK -> PlayNumberedTrackTrackNumber:3	PASS	32b31348-8b50-cfcd-ef7d-a036c9dae3a0	0.7845	-	MPC
183	1	L1	media player	repetir la canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_REPLAY"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_REPLAY	PASS	cbba04c7-f111-5d1c-f567-c38b96ae08c5	0.7036	-	MPC
184	1	L1	media player	omitir esta canción	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	9904ad1e-0c36-4f73-515c-539ea2000a2c	0.7055	-	MPC
185	1	L1	media player	para de reproducir	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_STOP"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_STOP	PASS	404daf69-d99a-6e96-1b5f-b4a5659cabd1	1.3576	-	MPC
187	1	L2	media player	Me gustaría escuchar el próximo álbum	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP_ALBUM"}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP_ALBUM"}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP_ALBUM	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP_ALBUM	PASS	27151675-d68d-66d0-dc9f-85af8c8c8871	1.2219	-	MPC
188	1	L2	media player	quisiera escuchar la siguiente pista	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0.0}}]}	{"AllResults":[{"CommandKind":"MusicPlayerCommand","NativeData":{"CommandType":"MUSIC_PLAYER_RESPONSE_SKIP","SkipAmount":0}}]}	MATCH	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	MusicPlayerCommand -> MUSIC_PLAYER_RESPONSE_SKIP -> SkipAmount:0	PASS	c8a6824c-15fd-2943-bfd8-b183121b6eb9	1.6228	-	MPC
